Text,Label
"Inventory Report, Products: Apples, Bananas, Oranges, Grapes, Category: Fruits, Units Sold: 349, 332, 345, 87, Unit Price: 2.94, 1.28, 2.27, 1.2",InventoryReport
"Inventory Report, Products: Apples, Bananas, Oranges, Grapes, Category: Fruits, Units Sold: 367, 111, 184, 171, Unit Price: 0.56, 1.7, 1.6, 2.39",InventoryReport
"Invoice, Vendor: ABC Corp, Customer: Jane Smith, Invoice Date: 2024-02-05, Invoice Number: 27528, Items: Laptop ($1000), Mouse ($50), Total Amount: $1050",Invoice
"Receipt, Store Name: QuickShop, Address: 123 Main St, Transaction Date: 2023-10-12, Payment Method: Cash, Items: Bread ($2), Milk ($1.5), Total Amount: $3.5",Receipt
"Inventory Report, Products: Apples, Bananas, Oranges, Grapes, Category: Fruits, Units Sold: 239, 412, 485, 355, Unit Price: 1.29, 2.85, 2.58, 1.89",InventoryReport
"Inventory Report, Products: Apples, Bananas, Oranges, Grapes, Category: Fruits, Units Sold: 428, 378, 436, 408, Unit Price: 2.44, 2.69, 0.74, 1.44",InventoryReport
"Invoice, Vendor: XYZ Ltd, Customer: John Doe, Invoice Date: 2023-07-06, Invoice Number: 71501, Items: Laptop ($1000), Mouse ($50), Total Amount: $1050",Invoice
"Receipt, Store Name: MegaMart, Address: 123 Main St, Transaction Date: 2023-10-28, Payment Method: Credit, Items: Bread ($2), Milk ($1.5), Total Amount: $3.5",Receipt
"Inventory Report, Products: Apples, Bananas, Oranges, Grapes, Category: Fruits, Units Sold: 286, 397, 433, 335, Unit Price: 2.44, 2.68, 2.67, 1.27",InventoryReport
"Receipt, Store Name: MegaMart, Address: 123 Main St, Transaction Date: 2024-04-10, Payment Method: Debit, Items: Bread ($2), Milk ($1.5), Total Amount: $3.5",Receipt
"Shipping Manifest, Shipping Details: Overnight, Sender: Global Logistics, Receiver: XYZ Ltd, Shipping Date: 2024-03-12, Tracking Number: SH95805, Items: Books (10), Pens (20)",ShippingDocument
"Purchase Order, Buyer: ACME Corp, Supplier: Global Supplies, Order Date: 2023-07-06, Order ID: PO9750, Items: Laptops (10), Monitors (5)",PurchaseOrder
"Inventory Report, Products: Apples, Bananas, Oranges, Grapes, Category: Fruits, Units Sold: 120, 199, 100, 157, Unit Price: 1.55, 1.6, 2.32, 1.81",InventoryReport
"Invoice, Vendor: ABC Corp, Customer: John Doe, Invoice Date: 2023-12-20, Invoice Number: 94589, Items: Laptop ($1000), Mouse ($50), Total Amount: $1050",Invoice
"Purchase Order, Buyer: XYZ Ltd, Supplier: ABC Corp, Order Date: 2023-04-22, Order ID: PO1566, Items: Laptops (10), Monitors (5)",PurchaseOrder
"Inventory Report, Products: Apples, Bananas, Oranges, Grapes, Category: Fruits, Units Sold: 288, 496, 171, 308, Unit Price: 1.73, 0.71, 2.57, 2.25",InventoryReport
"Shipping Manifest, Shipping Details: Standard, Sender: ABC Corp, Receiver: XYZ Ltd, Shipping Date: 2024-06-27, Tracking Number: SH54400, Items: Books (10), Pens (20)",ShippingDocument
"Purchase Order, Buyer: ACME Corp, Supplier: Global Supplies, Order Date: 2023-06-27, Order ID: PO4249, Items: Laptops (10), Monitors (5)",PurchaseOrder
"Purchase Order, Buyer: XYZ Ltd, Supplier: Global Supplies, Order Date: 2023-06-15, Order ID: PO9757, Items: Laptops (10), Monitors (5)",PurchaseOrder
"Inventory Report, Products: Apples, Bananas, Oranges, Grapes, Category: Fruits, Units Sold: 194, 491, 411, 386, Unit Price: 1.07, 2.33, 2.21, 1.9",InventoryReport
"Inventory Report, Products: Apples, Bananas, Oranges, Grapes, Category: Fruits, Units Sold: 288, 266, 179, 445, Unit Price: 1.52, 1.45, 1.24, 2.61",InventoryReport
"Receipt, Store Name: QuickShop, Address: 123 Main St, Transaction Date: 2024-06-13, Payment Method: Cash, Items: Bread ($2), Milk ($1.5), Total Amount: $3.5",Receipt
"Shipping Manifest, Shipping Details: Standard, Sender: ABC Corp, Receiver: XYZ Ltd, Shipping Date: 2023-10-04, Tracking Number: SH44622, Items: Books (10), Pens (20)",ShippingDocument
"Inventory Report, Products: Apples, Bananas, Oranges, Grapes, Category: Fruits, Units Sold: 428, 417, 372, 340, Unit Price: 2.65, 2.67, 0.83, 1.33",InventoryReport
"Shipping Manifest, Shipping Details: Standard, Sender: ABC Corp, Receiver: Regional Distribution, Shipping Date: 2024-11-16, Tracking Number: SH29782, Items: Books (10), Pens (20)",ShippingDocument
"Shipping Manifest, Shipping Details: Overnight, Sender: ABC Corp, Receiver: XYZ Ltd, Shipping Date: 2024-03-21, Tracking Number: SH60161, Items: Books (10), Pens (20)",ShippingDocument
"Receipt, Store Name: QuickShop, Address: 123 Main St, Transaction Date: 2024-09-07, Payment Method: Cash, Items: Bread ($2), Milk ($1.5), Total Amount: $3.5",Receipt
"Inventory Report, Products: Apples, Bananas, Oranges, Grapes, Category: Fruits, Units Sold: 486, 280, 255, 125, Unit Price: 1.57, 0.8, 1.2, 1.36",InventoryReport
"Shipping Manifest, Shipping Details: Standard, Sender: ABC Corp, Receiver: XYZ Ltd, Shipping Date: 2024-09-27, Tracking Number: SH19407, Items: Books (10), Pens (20)",ShippingDocument
