Text,Label
"Purchase Order,""Purchase Orders""",PurchaseOrder
"Purchase Order,""JOrder 1D JOrder Date Customer Name""",PurchaseOrder
"Purchase Order,""31 Gorgonzola Telino 42 10""",PurchaseOrder
"Purchase Order,""Purchase Orders""",PurchaseOrder
"Purchase Order,""Purchase Orders""",PurchaseOrder
"Shipping Manifest,""order_10381.pdf,Order ID 10381 Shipping Details Ship Name LILA-Supermercad Ship Address Carrera 2 con Ave. Bolivar 465-08 Liano Largo Ship Gy Barqusimeto Ship Region South America Ship Postal Code 3508 Ship Country Venezuela Customer Details CustomerID LILAS Customer Name LILASupermercado Employee Details Employee Name Janet Levering Shipper Details Shipper 1D 3 Shipper Name Federal Shipping Order Details Order Date 2016-12-12 Shipped Date 2016-12-13 Products Product Longife Tofu Quanity 14 Unit Price 8.0 Total 112.0 Total Price Total Price 1120""",ShippingDocument
"Purchase Order,""B-26089,59.00,24.00,6,Clothing,Kurti""",PurchaseOrder
"Purchase Order,""59 Raclette Courdavault 25 ss""",PurchaseOrder
"Purchase Order,""B-25734,108.00,-19.00,3,Electronics,Electronic Games""",PurchaseOrder
"Receipt,""receipt284.jpg,Sashimy 36_00 Jerarens Hamects Setmon ,""",Receipt
"Invoice,""10517,NORTS,2017-04-24,simon Crowther,invoice_10517.pdf""",Invoice
"Invoice,""10655,REGGC,2017-09-03,htaurizio Moroni,invoice_10655.pdf""",Invoice
"Purchase Order,""purchase_orders_10790.pdf,""",PurchaseOrder
"Purchase Order,""B-25843,214.00,30.00,3,Electronics,Accessories""",PurchaseOrder
"Invoice,""X51005806692.jpg,GREAT ZONE HOUSEHOLD CENTRE SDN BHD,GREAT,,18022018,6,0""",Invoice
"Purchase Order,""Purchase Orders""",PurchaseOrder
"Purchase Order,""Products""",PurchaseOrder
"Purchase Order,""B-25767,29.00,-3.00,3,Clothing,Saree""",PurchaseOrder
"Purchase Order,""JOrder 1D JOrder Date Customer Name""",PurchaseOrder
"Purchase Order,""B-25984,304.00,97.00,6,Clothing,Stole""",PurchaseOrder
"Purchase Order,""ls Tourtigre 160 7.45""",PurchaseOrder
"Purchase Order,""JOrder 1D JOrder Date Customer Name""",PurchaseOrder
"Purchase Order,""5 IChef Antons Gumbo Mix 120 21.35""",PurchaseOrder
"Purchase Order,""Purchase Orders""",PurchaseOrder
"Purchase Order,""33 IGeitost 15 25""",PurchaseOrder
"Invoice,""X51006557213.jpg,,,,01102017,0,V EOS 14 Date""",Invoice
"Shipping Manifest,""order_10374.pdf,Order ID 10374 Shipping Details Ship Name Wolski Zajazd Ship Address ul Fitrowa 68 Ship Cay Warszawa Ship Region Easter Europe Ship Postal Code 01-012 Ship Country Poland Customer Details CustomerID WOLZA Customer Name Wolski Zajazd Employee Details Employee Name Nancy Davelio Shipper Details Shipper 1D 3 Shipper Name Federal Shipping Order Details Order Date 2016-12-08 Shipped Date 2016-12-09 Products Product Gorgonzola Teno Quantity 30 Unit Price 10.0 Tota 300.0 Product Escargots de Bourgogne Quantity 15 Unit Price 10.6 Total 159.0 Total Price Total Price 459.0""",ShippingDocument
"Purchase Order,""B-25609,25.00,-5.00,4,Clothing,Saree""",PurchaseOrder
